Review,Suicide,text_clean,text_casefoldingText,text_slangwords,text_tokenizingText,text_stopword,text_akhir,text_stemming,Skor,Sentimen,Label
Tidak semuanya emas.,Not Suicide post,Tidak semuanya emas,tidak semuanya emas,tidak semuanya emas,"['tidak', 'semuanya', 'emas']",['emas'],emas,emas,0.0,negatif,0
Menjadi sepanas hari-hari yang terus-menerus bertumpu pada bunga-bunga yang lelah,Potential Suicide post ,Menjadi sepanas hari hari yang terus menerus bertumpu pada bunga bunga yang lelah,menjadi sepanas hari hari yang terus menerus bertumpu pada bunga bunga yang lelah,menjadi sepanas hari hari yang terus menerus bertumpu pada bunga bunga yang lelah,"['menjadi', 'sepanas', 'hari', 'hari', 'yang', 'terus', 'menerus', 'bertumpu', 'pada', 'bunga', 'bunga', 'yang', 'lelah']","['sepanas', 'menerus', 'bertumpu', 'bunga', 'bunga', 'lelah']",sepanas menerus bertumpu bunga bunga lelah,panas terus tumpu bunga bunga lelah,-15.0,negatif,0
@LessIsMoh @LaVendrickS Kami dulu punya.Tapi memelihara hewan liar hidup di dalam sangkar yang dikelilingi orang-orang mabuk yang berteriak-teriak… https://t.co/swOCDlRqWC,Potential Suicide post ,Kami dulu punya Tapi memelihara hewan liar hidup di dalam sangkar yang dikelilingi orang orang mabuk yang berteriak teriak…,kami dulu punya tapi memelihara hewan liar hidup di dalam sangkar yang dikelilingi orang orang mabuk yang berteriak teriak…,kami dulu punya tapi memelihara hewan liar hidup di dalam sangkar yang dikelilingi orang orang mabuk yang berteriak teriak…,"['kami', 'dulu', 'punya', 'tapi', 'memelihara', 'hewan', 'liar', 'hidup', 'di', 'dalam', 'sangkar', 'yang', 'dikelilingi', 'orang', 'orang', 'mabuk', 'yang', 'berteriak', 'teriak…']","['memelihara', 'hewan', 'liar', 'hidup', 'sangkar', 'dikelilingi', 'orang', 'orang', 'mabuk', 'berteriak', 'teriak…']",memelihara hewan liar hidup sangkar dikelilingi orang orang mabuk berteriak teriak…,pelihara hewan liar hidup sangkar keliling orang orang mabuk teriak teriak,-5.0,negatif,0
"AKU SANGAT LELAH DENGAN SEMUANYA, BISAKAH SAYA MATI",Potential Suicide post ,AKU SANGAT LELAH DENGAN SEMUANYA BISAKAH SAYA MATI,aku sangat lelah dengan semuanya bisakah saya mati,aku sangat lelah dengan semuanya bisakah saya mati,"['aku', 'sangat', 'lelah', 'dengan', 'semuanya', 'bisakah', 'saya', 'mati']","['lelah', 'mati']",lelah mati,lelah mati,-8.0,negatif,0
masih mendengarkan musik bagus yang saya dapatkan kemarin.amber pasifik itu luar biasa!!,Not Suicide post,masih mendengarkan musik bagus yang saya dapatkan kemarin amber pasifik itu luar biasa,masih mendengarkan musik bagus yang saya dapatkan kemarin amber pasifik itu luar biasa,masih mendengarkan musik bagus yang saya dapatkan kemarin amber pasifik itu luar biasa,"['masih', 'mendengarkan', 'musik', 'bagus', 'yang', 'saya', 'dapatkan', 'kemarin', 'amber', 'pasifik', 'itu', 'luar', 'biasa']","['mendengarkan', 'musik', 'bagus', 'dapatkan', 'kemarin', 'amber', 'pasifik']",mendengarkan musik bagus dapatkan kemarin amber pasifik,dengar musik bagus dapat kemarin amber pasifik,4.0,positif,1
Pergi ke tempat penitipan anak!Temui Hana!Ini seharusnya menjadi hari yang baik.Saya berharap demikian.,Not Suicide post,Pergi ke tempat penitipan anak Temui Hana Ini seharusnya menjadi hari yang baik Saya berharap demikian,pergi ke tempat penitipan anak temui hana ini seharusnya menjadi hari yang baik saya berharap demikian,pergi ke tempat penitipan anak temui hana ini seharusnya menjadi hari yang baik saya berharap demikian,"['pergi', 'ke', 'tempat', 'penitipan', 'anak', 'temui', 'hana', 'ini', 'seharusnya', 'menjadi', 'hari', 'yang', 'baik', 'saya', 'berharap', 'demikian']","['pergi', 'penitipan', 'anak', 'temui', 'hana', 'berharap']",pergi penitipan anak temui hana berharap,pergi titip anak temu hana harap,-7.0,negatif,0
@vindiekins Saya hampir merasa tidak enak untuk posting saya berikutnya.Hampir.,Not Suicide post,Saya hampir merasa tidak enak untuk posting saya berikutnya Hampir,saya hampir merasa tidak enak untuk posting saya berikutnya hampir,saya hampir merasa tidak enak untuk posting saya berikutnya hampir,"['saya', 'hampir', 'merasa', 'tidak', 'enak', 'untuk', 'posting', 'saya', 'berikutnya', 'hampir']","['enak', 'posting']",enak posting,enak posting,5.0,positif,1
@LadyParadis Terima kasih.Ini tentu lebih baik daripada kemarin tengah hari.Pada satu titik saya berjalan-jalan seperti Kryten dari Red Dwarf.,Not Suicide post,Terima kasih Ini tentu lebih baik daripada kemarin tengah hari Pada satu titik saya berjalan jalan seperti Kryten dari Red Dwarf,terima kasih ini tentu lebih baik daripada kemarin tengah hari pada satu titik saya berjalan jalan seperti kryten dari red dwarf,terima kasih ini tentu lebih baik daripada kemarin tengah hari pada satu titik saya berjalan jalan seperti kryten dari red dwarf,"['terima', 'kasih', 'ini', 'tentu', 'lebih', 'baik', 'daripada', 'kemarin', 'tengah', 'hari', 'pada', 'satu', 'titik', 'saya', 'berjalan', 'jalan', 'seperti', 'kryten', 'dari', 'red', 'dwarf']","['terima', 'kasih', 'kemarin', 'titik', 'berjalan', 'jalan', 'kryten', 'red', 'dwarf']",terima kasih kemarin titik berjalan jalan kryten red dwarf,terima kasih kemarin titik jalan jalan kryten red dwarf,-2.0,negatif,0
@cyberpreneur selamat datang di &quot;twittersphere&quot;!(Saya suka nama Anda karena menyenangkan tetapi bisa membuat ketagihan,Not Suicide post,selamat datang di quot twittersphere quot Saya suka nama Anda karena menyenangkan tetapi bisa membuat ketagihan,selamat datang di quot twittersphere quot saya suka nama anda karena menyenangkan tetapi bisa membuat ketagihan,selamat datang di quot twittersphere quot saya suka nama anda karena menyenangkan tetapi bisa membuat ketagihan,"['selamat', 'datang', 'di', 'quot', 'twittersphere', 'quot', 'saya', 'suka', 'nama', 'anda', 'karena', 'menyenangkan', 'tetapi', 'bisa', 'membuat', 'ketagihan']","['selamat', 'quot', 'twittersphere', 'quot', 'suka', 'nama', 'menyenangkan', 'ketagihan']",selamat quot twittersphere quot suka nama menyenangkan ketagihan,selamat quot twittersphere quot suka nama senang tagih,-3.0,negatif,0
@LindseyLobo Bagaimana Anda tahu??Saya MENYUKAINYA!,Not Suicide post,Bagaimana Anda tahu Saya MENYUKAINYA,bagaimana anda tahu saya menyukainya,bagaimana anda tahu saya menyukainya,"['bagaimana', 'anda', 'tahu', 'saya', 'menyukainya']",['menyukainya'],menyukainya,suka,-1.0,negatif,0
setiap hari hanya membuatku semakin dekat dengan kematian aku berusia 21 tahun pelajar yang bekerja aku ingin bunuh diri hidup ini sungguh tak tertahankan aku tidak punya keterampilan dan bakat dan aku benar-benar orang yang membosankan jadi aku menghabiskan sebagian besar waktu luangku sendirian aku benar-benar ingin mencari pacar tapi aku tidak tahu bagaimana aku bisa menemukannya ketika aku tidak berguna seperti ini Aku biasa menghilangkan kesedihan dengan mendengarkan musik tapi akhir-akhir ini aku bosan dengan musik dan hanya ingin tidur dan tidak pernah bangun,Potential Suicide post ,setiap hari hanya membuatku semakin dekat dengan kematian aku berusia tahun pelajar yang bekerja aku ingin bunuh diri hidup ini sungguh tak tertahankan aku tidak punya keterampilan dan bakat dan aku benar benar orang yang membosankan jadi aku menghabiskan sebagian besar waktu luangku sendirian aku benar benar ingin mencari pacar tapi aku tidak tahu bagaimana aku bisa menemukannya ketika aku tidak berguna seperti ini Aku biasa menghilangkan kesedihan dengan mendengarkan musik tapi akhir akhir ini aku bosan dengan musik dan hanya ingin tidur dan tidak pernah bangun,setiap hari hanya membuatku semakin dekat dengan kematian aku berusia tahun pelajar yang bekerja aku ingin bunuh diri hidup ini sungguh tak tertahankan aku tidak punya keterampilan dan bakat dan aku benar benar orang yang membosankan jadi aku menghabiskan sebagian besar waktu luangku sendirian aku benar benar ingin mencari pacar tapi aku tidak tahu bagaimana aku bisa menemukannya ketika aku tidak berguna seperti ini aku biasa menghilangkan kesedihan dengan mendengarkan musik tapi akhir akhir ini aku bosan dengan musik dan hanya ingin tidur dan tidak pernah bangun,setiap hari hanya membuatku semakin dekat dengan kematian aku berusia tahun pelajar yang bekerja aku ingin bunuh diri hidup ini sungguh tak tertahankan aku tidak punya keterampilan dan bakat dan aku benar benar orang yang membosankan jadi aku menghabiskan sebagian besar waktu luangku sendirian aku benar benar ingin mencari pacar tapi aku tidak tahu bagaimana aku bisa menemukannya ketika aku tidak berguna seperti ini aku biasa menghilangkan kesedihan dengan mendengarkan musik tapi akhir akhir ini aku bosan dengan musik dan hanya ingin tidur dan tidak pernah bangun,"['setiap', 'hari', 'hanya', 'membuatku', 'semakin', 'dekat', 'dengan', 'kematian', 'aku', 'berusia', 'tahun', 'pelajar', 'yang', 'bekerja', 'aku', 'ingin', 'bunuh', 'diri', 'hidup', 'ini', 'sungguh', 'tak', 'tertahankan', 'aku', 'tidak', 'punya', 'keterampilan', 'dan', 'bakat', 'dan', 'aku', 'benar', 'benar', 'orang', 'yang', 'membosankan', 'jadi', 'aku', 'menghabiskan', 'sebagian', 'besar', 'waktu', 'luangku', 'sendirian', 'aku', 'benar', 'benar', 'ingin', 'mencari', 'pacar', 'tapi', 'aku', 'tidak', 'tahu', 'bagaimana', 'aku', 'bisa', 'menemukannya', 'ketika', 'aku', 'tidak', 'berguna', 'seperti', 'ini', 'aku', 'biasa', 'menghilangkan', 'kesedihan', 'dengan', 'mendengarkan', 'musik', 'tapi', 'akhir', 'akhir', 'ini', 'aku', 'bosan', 'dengan', 'musik', 'dan', 'hanya', 'ingin', 'tidur', 'dan', 'tidak', 'pernah', 'bangun']","['membuatku', 'kematian', 'berusia', 'pelajar', 'bunuh', 'hidup', 'sungguh', 'tertahankan', 'keterampilan', 'bakat', 'orang', 'membosankan', 'menghabiskan', 'luangku', 'mencari', 'pacar', 'menemukannya', 'berguna', 'menghilangkan', 'kesedihan', 'mendengarkan', 'musik', 'bosan', 'musik', 'tidur', 'bangun']",membuatku kematian berusia pelajar bunuh hidup sungguh tertahankan keterampilan bakat orang membosankan menghabiskan luangku mencari pacar menemukannya berguna menghilangkan kesedihan mendengarkan musik bosan musik tidur bangun,buat mati usia ajar bunuh hidup sungguh tahan terampil bakat orang bosan habis luang cari pacar temu guna hilang sedih dengar musik bosan musik tidur bangun,-38.0,negatif,0
"@drrnlvngstn bolehkah saya mendapatkan milik Anda?awan telah datang, aku khawatir aku mungkin terlambat untuk menikmati cuaca",Not Suicide post,bolehkah saya mendapatkan milik Anda awan telah datang aku khawatir aku mungkin terlambat untuk menikmati cuaca,bolehkah saya mendapatkan milik anda awan telah datang aku khawatir aku mungkin terlambat untuk menikmati cuaca,bolehkah saya mendapatkan milik anda awan telah datang aku khawatir aku mungkin terlambat untuk menikmati cuaca,"['bolehkah', 'saya', 'mendapatkan', 'milik', 'anda', 'awan', 'telah', 'datang', 'aku', 'khawatir', 'aku', 'mungkin', 'terlambat', 'untuk', 'menikmati', 'cuaca']","['milik', 'awan', 'khawatir', 'terlambat', 'menikmati', 'cuaca']",milik awan khawatir terlambat menikmati cuaca,milik awan khawatir lambat nikmat cuaca,0.0,negatif,0
"@chipcoffey Senang mendengarnya!!Terima kasih, Chip!",Not Suicide post,Senang mendengarnya Terima kasih Chip,senang mendengarnya terima kasih chip,senang mendengarnya terima kasih chip,"['senang', 'mendengarnya', 'terima', 'kasih', 'chip']","['senang', 'mendengarnya', 'terima', 'kasih', 'chip']",senang mendengarnya terima kasih chip,senang dengar terima kasih chip,-1.0,negatif,0
RT @MileyCyrus: Benar-benar hancur karena kebakaran yang menimpa komunitas saya.Saya salah satu yang beruntung.Hewan-hewanku dan CINTA DALAM HIDUPKU menjadikan...,Not Suicide post,Benar benar hancur karena kebakaran yang menimpa komunitas saya Saya salah satu yang beruntung Hewan hewanku dan CINTA DALAM HIDUPKU menjadikan,benar benar hancur karena kebakaran yang menimpa komunitas saya saya salah satu yang beruntung hewan hewanku dan cinta dalam hidupku menjadikan,benar benar hancur karena kebakaran yang menimpa komunitas saya saya salah satu yang beruntung hewan hewanku dan cinta dalam hidupku menjadikan,"['benar', 'benar', 'hancur', 'karena', 'kebakaran', 'yang', 'menimpa', 'komunitas', 'saya', 'saya', 'salah', 'satu', 'yang', 'beruntung', 'hewan', 'hewanku', 'dan', 'cinta', 'dalam', 'hidupku', 'menjadikan']","['hancur', 'kebakaran', 'menimpa', 'komunitas', 'salah', 'beruntung', 'hewan', 'hewanku', 'cinta', 'hidupku', 'menjadikan']",hancur kebakaran menimpa komunitas salah beruntung hewan hewanku cinta hidupku menjadikan,hancur bakar timpa komunitas salah untung hewan hewan cinta hidup jadi,-21.0,negatif,0
ah.... musik pop tahun 90an sangat bagus,Not Suicide post,ah musik pop tahun an sangat bagus,ah musik pop tahun an sangat bagus,ah musik pop tahun an sangat bagus,"['ah', 'musik', 'pop', 'tahun', 'an', 'sangat', 'bagus']","['ah', 'musik', 'pop', 'bagus']",ah musik pop bagus,ah musik pop bagus,9.0,positif,1
@rccgd Saya meninggalkan laptop di rumah.Aku akan tahan dengan tweetie.Saya bisa mendapatkan DM di gmail.Teman baru selalu dapat mengirimi saya email tambahan mereka,Not Suicide post,Saya meninggalkan laptop di rumah Aku akan tahan dengan tweetie Saya bisa mendapatkan DM di gmail Teman baru selalu dapat mengirimi saya email tambahan mereka,saya meninggalkan laptop di rumah aku akan tahan dengan tweetie saya bisa mendapatkan dm di gmail teman baru selalu dapat mengirimi saya email tambahan mereka,saya meninggalkan laptop di rumah aku akan tahan dengan tweetie saya bisa mendapatkan dm di gmail teman baru selalu dapat mengirimi saya email tambahan mereka,"['saya', 'meninggalkan', 'laptop', 'di', 'rumah', 'aku', 'akan', 'tahan', 'dengan', 'tweetie', 'saya', 'bisa', 'mendapatkan', 'dm', 'di', 'gmail', 'teman', 'baru', 'selalu', 'dapat', 'mengirimi', 'saya', 'email', 'tambahan', 'mereka']","['meninggalkan', 'laptop', 'rumah', 'tahan', 'tweetie', 'dm', 'gmail', 'teman', 'mengirimi', 'email', 'tambahan']",meninggalkan laptop rumah tahan tweetie dm gmail teman mengirimi email tambahan,tinggal laptop rumah tahan tweetie dm gmail teman kirim email tambah,3.0,positif,1
/ terima kasih Tuhan untuk @bre.Tidur dan dia membawa Ava ke tempat penitipan anak.,Not Suicide post,terima kasih Tuhan untuk Tidur dan dia membawa Ava ke tempat penitipan anak,terima kasih tuhan untuk tidur dan dia membawa ava ke tempat penitipan anak,terima kasih tuhan untuk tidur dan dia membawa ava ke tempat penitipan anak,"['terima', 'kasih', 'tuhan', 'untuk', 'tidur', 'dan', 'dia', 'membawa', 'ava', 'ke', 'tempat', 'penitipan', 'anak']","['terima', 'kasih', 'tuhan', 'tidur', 'membawa', 'ava', 'penitipan', 'anak']",terima kasih tuhan tidur membawa ava penitipan anak,terima kasih tuhan tidur bawa ava titip anak,-5.0,negatif,0
i dont know why i keep trying my home life has always been incredibly toxic and my parents have always been a major contributor to my depression and anxiety i just feel like a worthless individual i dont have a job and i am not doing anything and i have no motivation to even leave the house let alone my bed all my life shit like this has continued to happen to me and sometimes i look at all the pills i have to take and consider just shoving a handful in my mouth and ending it all but most of the time i just lie in my bed and wish i could die without actually having to kill myself because i am a coward i am so tired of hearing that things are gonna get better,Potential Suicide post ,i dont know why i keep trying my home life has always been incredibly toxic and my parents have always been a major contributor to my depression and anxiety i just feel like a worthless individual i dont have a job and i am not doing anything and i have no motivation to even leave the house let alone my bed all my life shit like this has continued to happen to me and sometimes i look at all the pills i have to take and consider just shoving a handful in my mouth and ending it all but most of the time i just lie in my bed and wish i could die without actually having to kill myself because i am a coward i am so tired of hearing that things are gonna get better,i dont know why i keep trying my home life has always been incredibly toxic and my parents have always been a major contributor to my depression and anxiety i just feel like a worthless individual i dont have a job and i am not doing anything and i have no motivation to even leave the house let alone my bed all my life shit like this has continued to happen to me and sometimes i look at all the pills i have to take and consider just shoving a handful in my mouth and ending it all but most of the time i just lie in my bed and wish i could die without actually having to kill myself because i am a coward i am so tired of hearing that things are gonna get better,i dont know why i keep trying my home life has always been incredibly toxic and my parents have always been a major contributor tapi my depression and anxiety i just feel like a worthless individual i dont have a job and i sama not doing anything and i have no motivation tapi even leave the house let alone my bed all my life shit like this has continued tapi happen tapi me and sometimes i look at all the pills i have tapi take and consider just shoving a handful ini my mouth and ending itu all but most of the time i just lie ini my bed and wish i could die without actually having tapi kill myself because i sama a coward i sama sok tired of hearing that things are gonna get better,"['i', 'dont', 'know', 'why', 'i', 'keep', 'trying', 'my', 'home', 'life', 'has', 'always', 'been', 'incredibly', 'toxic', 'and', 'my', 'parents', 'have', 'always', 'been', 'a', 'major', 'contributor', 'tapi', 'my', 'depression', 'and', 'anxiety', 'i', 'just', 'feel', 'like', 'a', 'worthless', 'individual', 'i', 'dont', 'have', 'a', 'job', 'and', 'i', 'sama', 'not', 'doing', 'anything', 'and', 'i', 'have', 'no', 'motivation', 'tapi', 'even', 'leave', 'the', 'house', 'let', 'alone', 'my', 'bed', 'all', 'my', 'life', 'shit', 'like', 'this', 'has', 'continued', 'tapi', 'happen', 'tapi', 'me', 'and', 'sometimes', 'i', 'look', 'at', 'all', 'the', 'pills', 'i', 'have', 'tapi', 'take', 'and', 'consider', 'just', 'shoving', 'a', 'handful', 'ini', 'my', 'mouth', 'and', 'ending', 'itu', 'all', 'but', 'most', 'of', 'the', 'time', 'i', 'just', 'lie', 'ini', 'my', 'bed', 'and', 'wish', 'i', 'could', 'die', 'without', 'actually', 'having', 'tapi', 'kill', 'myself', 'because', 'i', 'sama', 'a', 'coward', 'i', 'sama', 'sok', 'tired', 'of', 'hearing', 'that', 'things', 'are', 'gonna', 'get', 'better']","['dont', 'know', 'keep', 'trying', 'home', 'life', 'always', 'incredibly', 'toxic', 'parents', 'always', 'major', 'contributor', 'depression', 'anxiety', 'feel', 'like', 'worthless', 'individual', 'dont', 'job', 'anything', 'motivation', 'even', 'leave', 'house', 'let', 'alone', 'bed', 'life', 'shit', 'like', 'continued', 'happen', 'sometimes', 'look', 'pills', 'take', 'consider', 'shoving', 'handful', 'mouth', 'ending', 'time', 'lie', 'bed', 'wish', 'could', 'die', 'without', 'actually', 'kill', 'coward', 'sok', 'tired', 'hearing', 'things', 'gonna', 'get', 'better']",dont know keep trying home life always incredibly toxic parents always major contributor depression anxiety feel like worthless individual dont job anything motivation even leave house let alone bed life shit like continued happen sometimes look pills take consider shoving handful mouth ending time lie bed wish could die without actually kill coward sok tired hearing things gonna get better,dont know keep trying home life always incredibly toxic parents always major contributor depression anxiety feel like worthless individual dont job anything motivation even leave house let alone bed life shit like continued happen sometimes look pills take consider shoving handful mouth ending time lie bed wish could die without actually kill coward sok tired hearing things gonna get better,-11.0,negatif,0
Malam yang luar biasa dan hari yang menyenangkan...AKU SUKA Sepatu Hakku!!!,Not Suicide post,Malam yang luar biasa dan hari yang menyenangkan AKU SUKA Sepatu Hakku,malam yang luar biasa dan hari yang menyenangkan aku suka sepatu hakku,malam yang luar biasa dan hari yang menyenangkan aku suka sepatu hakku,"['malam', 'yang', 'luar', 'biasa', 'dan', 'hari', 'yang', 'menyenangkan', 'aku', 'suka', 'sepatu', 'hakku']","['malam', 'menyenangkan', 'suka', 'sepatu', 'hakku']",malam menyenangkan suka sepatu hakku,malam senang suka sepatu hak,-3.0,negatif,0
"Bosan menjalani hidup dengan rasa takut tidak disukai.Jadi untuk saat ini, FUCK IT AKU benar-benar hidupâ sekarang semuanya!!!!!",Potential Suicide post ,Bosan menjalani hidup dengan rasa takut tidak disukai Jadi untuk saat ini FUCK IT AKU benar benar hidupâ sekarang semuanya,bosan menjalani hidup dengan rasa takut tidak disukai jadi untuk saat ini fuck it aku benar benar hidupâ sekarang semuanya,bosan menjalani hidup dengan rasa takut tidak disukai jadi untuk saat ini fuck itu aku benar benar hidupâ sekarang semuanya,"['bosan', 'menjalani', 'hidup', 'dengan', 'rasa', 'takut', 'tidak', 'disukai', 'jadi', 'untuk', 'saat', 'ini', 'fuck', 'itu', 'aku', 'benar', 'benar', 'hidupâ', 'sekarang', 'semuanya']","['bosan', 'menjalani', 'hidup', 'takut', 'disukai', 'fuck', 'hidupâ']",bosan menjalani hidup takut disukai fuck hidupâ,bosan jalan hidup takut suka fuck hidup,-13.0,negatif,0
jami: mungkin pengemudi mabuk memasuki lalu lintas yang datang,Potential Suicide post ,jami mungkin pengemudi mabuk memasuki lalu lintas yang datang,jami mungkin pengemudi mabuk memasuki lalu lintas yang datang,jami mungkin pengemudi mabuk memasuki lalu lintas yang datang,"['jami', 'mungkin', 'pengemudi', 'mabuk', 'memasuki', 'lalu', 'lintas', 'yang', 'datang']","['jami', 'pengemudi', 'mabuk', 'memasuki', 'lintas']",jami pengemudi mabuk memasuki lintas,jam kemudi mabuk pasuk lintas,0.0,negatif,0
RT @gracee_chang: Saya tahu betul bahwa saya akan membenci diri sendiri karena mengambil jam 7:30 tetapi tetap melakukannya https://t.co/FRhjVbgkUw,Potential Suicide post ,Saya tahu betul bahwa saya akan membenci diri sendiri karena mengambil jam tetapi tetap melakukannya,saya tahu betul bahwa saya akan membenci diri sendiri karena mengambil jam tetapi tetap melakukannya,saya tahu betul bahwa saya akan membenci diri sendiri karena mengambil jam tetapi tetap melakukannya,"['saya', 'tahu', 'betul', 'bahwa', 'saya', 'akan', 'membenci', 'diri', 'sendiri', 'karena', 'mengambil', 'jam', 'tetapi', 'tetap', 'melakukannya']","['membenci', 'mengambil', 'jam', 'melakukannya']",membenci mengambil jam melakukannya,benci ambil jam laku,-10.0,negatif,0
"Obat-obatanku sudah habis karena keluargaku menganggap itu yang terbaik karena aku sakit, lelah, dan lemas… https://t.co/6dpLNbb0sh",Potential Suicide post ,Obat obatanku sudah habis karena keluargaku menganggap itu yang terbaik karena aku sakit lelah dan lemas…,obat obatanku sudah habis karena keluargaku menganggap itu yang terbaik karena aku sakit lelah dan lemas…,obat obatanku sudah habis karena keluargaku menganggap itu yang terbaik karena aku sakit lelah dan lemas…,"['obat', 'obatanku', 'sudah', 'habis', 'karena', 'keluargaku', 'menganggap', 'itu', 'yang', 'terbaik', 'karena', 'aku', 'sakit', 'lelah', 'dan', 'lemas…']","['obat', 'obatanku', 'habis', 'keluargaku', 'menganggap', 'terbaik', 'sakit', 'lelah', 'lemas…']",obat obatanku habis keluargaku menganggap terbaik sakit lelah lemas…,obat obat habis keluarga anggap baik sakit lelah lemas,-12.0,negatif,0
RT @princessjmee: Belum pernah berperang tetapi saya mendapat mimpi buruk yang membangunkan saya untuk berjuang demi hidup saya.#thisisus #ptsd,Potential Suicide post ,Belum pernah berperang tetapi saya mendapat mimpi buruk yang membangunkan saya untuk berjuang demi hidup saya,belum pernah berperang tetapi saya mendapat mimpi buruk yang membangunkan saya untuk berjuang demi hidup saya,belum pernah berperang tetapi saya mendapat mimpi buruk yang membangunkan saya untuk berjuang demi hidup saya,"['belum', 'pernah', 'berperang', 'tetapi', 'saya', 'mendapat', 'mimpi', 'buruk', 'yang', 'membangunkan', 'saya', 'untuk', 'berjuang', 'demi', 'hidup', 'saya']","['berperang', 'mimpi', 'buruk', 'membangunkan', 'berjuang', 'hidup']",berperang mimpi buruk membangunkan berjuang hidup,perang mimpi buruk bangun juang hidup,-13.0,negatif,0
@babydestiny24 Apa itu Twitter?OH!!Ini adalah Twitter.Ya... Birdie kecilku yang malang!TIDAK!Inilah PAUS GAGAL!!,Not Suicide post,Apa itu Twitter OH Ini adalah Twitter Ya Birdie kecilku yang malang TIDAK Inilah PAUS GAGAL,apa itu twitter oh ini adalah twitter ya birdie kecilku yang malang tidak inilah paus gagal,apa itu twitter oh ini adalah twitter ya birdie kecilku yang malang tidak inilah paus gagal,"['apa', 'itu', 'twitter', 'oh', 'ini', 'adalah', 'twitter', 'ya', 'birdie', 'kecilku', 'yang', 'malang', 'tidak', 'inilah', 'paus', 'gagal']","['twitter', 'oh', 'twitter', 'birdie', 'kecilku', 'malang', 'paus', 'gagal']",twitter oh twitter birdie kecilku malang paus gagal,twitter oh twitter birdie kecil malang paus gagal,-12.0,negatif,0
"Aku akan mati, aku lelah menginvestasikan segalanya pada seseorang lalu menyuruh mereka membuangnya.Saya tidak dibuatâ¦ https://t.co/5hb6Kz74qb",Potential Suicide post ,Aku akan mati aku lelah menginvestasikan segalanya pada seseorang lalu menyuruh mereka membuangnya Saya tidak dibuatâ¦,aku akan mati aku lelah menginvestasikan segalanya pada seseorang lalu menyuruh mereka membuangnya saya tidak dibuatâ¦,aku akan mati aku lelah menginvestasikan segalanya pada seseorang lalu menyuruh mereka membuangnya saya tidak dibuatâ¦,"['aku', 'akan', 'mati', 'aku', 'lelah', 'menginvestasikan', 'segalanya', 'pada', 'seseorang', 'lalu', 'menyuruh', 'mereka', 'membuangnya', 'saya', 'tidak', 'dibuatâ¦']","['mati', 'lelah', 'menginvestasikan', 'menyuruh', 'membuangnya', 'dibuatâ¦']",mati lelah menginvestasikan menyuruh membuangnya dibuatâ¦,mati lelah investasi suruh buang buat,-12.0,negatif,0
YO terkadang aku bosan hidup.,Potential Suicide post ,YO terkadang aku bosan hidup,yo terkadang aku bosan hidup,ya terkadang aku bosan hidup,"['ya', 'terkadang', 'aku', 'bosan', 'hidup']","['terkadang', 'bosan', 'hidup']",terkadang bosan hidup,terkadang bosan hidup,-1.0,negatif,0
RT @JimmieAthletics: Selamat kepada @JimmieFootball OL Anthony Vereen karena dinobatkan sebagai GPAC Football First Team Offense 2018!#GoJimmiesâ¦,Not Suicide post,Selamat kepada OL Anthony Vereen karena dinobatkan sebagai GPAC Football First Team Offense â¦,selamat kepada ol anthony vereen karena dinobatkan sebagai gpac football first team offense â¦,selamat kepada ol anthony vereen karena dinobatkan sebagai gpac football first team offense â¦,"['selamat', 'kepada', 'ol', 'anthony', 'vereen', 'karena', 'dinobatkan', 'sebagai', 'gpac', 'football', 'first', 'team', 'offense', 'â¦']","['selamat', 'ol', 'anthony', 'vereen', 'dinobatkan', 'gpac', 'football', 'first', 'team', 'offense', 'â¦']",selamat ol anthony vereen dinobatkan gpac football first team offense â¦,selamat ol anthony vereen nobat gpac football first team offense ,6.0,positif,1
Bercita-cita untuk sebahagia @BlacYoungstaFB dalam setiap aspek kehidupan,Not Suicide post,Bercita cita untuk sebahagia dalam setiap aspek kehidupan,bercita cita untuk sebahagia dalam setiap aspek kehidupan,bercita cita untuk sebahagia dalam setiap aspek kehidupan,"['bercita', 'cita', 'untuk', 'sebahagia', 'dalam', 'setiap', 'aspek', 'kehidupan']","['bercita', 'cita', 'sebahagia', 'aspek', 'kehidupan']",bercita cita sebahagia aspek kehidupan,cita cita bahagia aspek hidup,-8.0,negatif,0
RT @ZachStafford: Saya biasa memeriksa daftar Forbes 30 Under 30 setiap tahun untuk melihat apakah saya dapat menemukan suami di dalamnya.,Potential Suicide post ,Saya biasa memeriksa daftar Forbes Under setiap tahun untuk melihat apakah saya dapat menemukan suami di dalamnya,saya biasa memeriksa daftar forbes under setiap tahun untuk melihat apakah saya dapat menemukan suami di dalamnya,saya biasa memeriksa daftar forbes under setiap tahun untuk melihat apakah saya dapat menemukan suami di dalamnya,"['saya', 'biasa', 'memeriksa', 'daftar', 'forbes', 'under', 'setiap', 'tahun', 'untuk', 'melihat', 'apakah', 'saya', 'dapat', 'menemukan', 'suami', 'di', 'dalamnya']","['memeriksa', 'daftar', 'forbes', 'menemukan', 'suami', 'dalamnya']",memeriksa daftar forbes menemukan suami dalamnya,periksa daftar forbes temu suami dalam,-3.0,negatif,0
